"Route","Year","Publication Type","york","Open Access","Number of Publications"
"TA","2020","article","TRUE","Gold",11
"YOAF","2020","article","TRUE","Gold",75
"other","2021","article","TRUE","Gold",199
"TA","2021","article","TRUE","Gold",24
"YOAF","2021","article","TRUE","Gold",67
"other","2022","article","TRUE","Gold",184
"TA","2022","article","TRUE","Gold",39
"YOAF","2022","article","TRUE","Gold",63
"other","2017","book","TRUE","Gold",0
"TA","2017","book","TRUE","Gold",0
"YOAF","2017","book","TRUE","Gold",0
"other","2018","book","TRUE","Gold",0
"TA","2018","book","TRUE","Gold",0
"YOAF","2018","book","TRUE","Gold",0
"other","2019","book","TRUE","Gold",0
"TA","2019","book","TRUE","Gold",0
"YOAF","2019","book","TRUE","Gold",0
"other","2020","book","TRUE","Gold",0
"TA","2020","book","TRUE","Gold",0
"YOAF","2020","book","TRUE","Gold",0
"other","2021","book","TRUE","Gold",0
"TA","2021","book","TRUE","Gold",0
"YOAF","2021","book","TRUE","Gold",0
"other","2022","book","TRUE","Gold",0
"TA","2022","book","TRUE","Gold",0
"YOAF","2022","book","TRUE","Gold",0
"other","2017","book chapter","TRUE","Gold",0
"TA","2017","book chapter","TRUE","Gold",0
"YOAF","2017","book chapter","TRUE","Gold",0
"other","2018","book chapter","TRUE","Gold",0
"TA","2018","book chapter","TRUE","Gold",0
"YOAF","2018","book chapter","TRUE","Gold",0
"other","2019","book chapter","TRUE","Gold",0
"TA","2019","book chapter","TRUE","Gold",0
"YOAF","2019","book chapter","TRUE","Gold",0
"other","2020","book chapter","TRUE","Gold",0
"TA","2020","book chapter","TRUE","Gold",0
"YOAF","2020","book chapter","TRUE","Gold",0
"other","2021","book chapter","TRUE","Gold",0
"TA","2021","book chapter","TRUE","Gold",0
"YOAF","2021","book chapter","TRUE","Gold",0
"other","2022","book chapter","TRUE","Gold",0
"TA","2022","book chapter","TRUE","Gold",0
"YOAF","2022","book chapter","TRUE","Gold",0
"other","2017","conference paper","TRUE","Gold",1
"TA","2017","conference paper","TRUE","Gold",0
"YOAF","2017","conference paper","TRUE","Gold",0
"other","2018","conference paper","TRUE","Gold",2
"TA","2018","conference paper","TRUE","Gold",0
"YOAF","2018","conference paper","TRUE","Gold",0
"other","2019","conference paper","TRUE","Gold",1
"TA","2019","conference paper","TRUE","Gold",0
"YOAF","2019","conference paper","TRUE","Gold",0
"other","2020","conference paper","TRUE","Gold",3
"TA","2020","conference paper","TRUE","Gold",0
"YOAF","2020","conference paper","TRUE","Gold",0
"other","2021","conference paper","TRUE","Gold",1
"TA","2021","conference paper","TRUE","Gold",0
"YOAF","2021","conference paper","TRUE","Gold",0
"other","2022","conference paper","TRUE","Gold",1
"TA","2022","conference paper","TRUE","Gold",0
"YOAF","2022","conference paper","TRUE","Gold",0
